,job_title,frequency,job_category
73444,Education Assistant ,5,education assistant
78250,Teacher,5,tutor
50749,Security officer,5,security
47834,Field worker,5,Unclassified
128841,Security guard,5,security
73350,Teachers assistant ,5,tutor
73254,Assistant manager,5,manager
128837,Gardening,5,Unclassified
77535,Educator Assistant ,5,education assistant
46148,Education Assistant ,5,education assistant
8323,Facilitator,5,facilitator
3505,General School Assistant,5,education assistant
129440,Technician,5,Unclassified
44519,Teacher Assistant,5,tutor
45884,Educator,5,Unclassified
166609,Educator,5,Unclassified
88227,Educator assistance ,5,education assistant
45878,Customer Assistant ,5,call centre agent
41803,Agent,5,Unclassified
77882,Teachers Assistant ,5,tutor
7622,Customer assistant ,5,call centre agent
43844,Till packer,5,cashier
128822,Driving,5,Unclassified
128827,Baby sitting ,5,childcare
50926,Bolt driver,5,driver
73346,Sales consultant,5,sales assistant
128832,Handyman ,5,maintenance
50905,Internet cafe,5,intern
121022,Facilitator,5,facilitator
50915,Educational Assistant,5,education assistant
51001,Selling fast food,5,sales assistant
45149,Intern,5,intern
46988,P27,5,Unclassified
44926,Sales Assistant ,5,sales assistant
50527,Welding ,5,maintenance
121958,Coach,5,Unclassified
150086,Teacher's Assistant,5,tutor
199081,Learnership,5,learnership
2445,Teacher ,5,tutor
8871,General assistance,5,education assistant
47123,General School Assistant,5,education assistant
46889,Brand ambassador,5,brand promoter
197985,Field worker,5,Unclassified
2824,Agent,5,Unclassified
50498,Educator Assistant,5,education assistant
150038,Teaching assistant,5,tutor
2660,Teacher,5,tutor
42839,Internship,5,intern
5647,Crew,5,Unclassified
9208,Educational assistance,5,education assistant
161507,Financial advisor,5,advisers/consultants
5971,Not working,5,Unclassified
45074,Facilitator,5,facilitator
43057,Cleaner,5,cleaner
5446,Ambassador ,5,brand promoter
5400,Merchandiser,5,stockroom assistant
42991,Ambassador,5,brand promoter
122194,Driver,5,driver
45224,Merchandiser ,5,stockroom assistant
44917,Cleaner,5,cleaner
162082,Youth brigade ,5,covid19 screener
5696,Ambassador,5,brand promoter
5969,Teacher Assistant,5,tutor
43952,Merchandiser ,4,stockroom assistant
129282,teachers assistant,4,tutor
122642,Digital Artisan ,4,Unclassified
83882,Till packer ,4,cashier
149828,Educators Assistant,4,education assistant
89389,General worker,4,general worker
153256,Assistant Teacher,4,tutor
10805,Learnership,4,learnership
129015,Carpentry ,4,Unclassified
4595,Security officer,4,security
44953,Cashier ,4,cashier
6863,Call centre agent ,4,call centre agent
50840,Plumbing,4,maintenance
3776,Till packer,4,cashier
43748,Cashier,4,cashier
83947,General work,4,general worker
51043,Care giver,4,caregiver
43010,ITE,4,Unclassified
129192,Store manager,4,sales assistant
6200,Education Assistant,4,education assistant
4837,Educational assistance ,4,education assistant
203675,Education Assistance ,4,education assistant
2740,Assistant Educator ,4,Unclassified
4929,General assistant ,4,education assistant
50804,Painting ,4,maintenance
2826,EA,4,Unclassified
46843,Financial advisor,4,advisers/consultants
73198,Administration ,4,admin assistant clerk
73692,Assistant manager ,4,manager
42021,Cooker,4,food preparation
9021,Betting clerk,4,admin assistant clerk
4231,Cleaner ,4,cleaner
51093,Field worker,4,Unclassified
163329,GSA,4,education assistant
49344,Administrator,4,admin assistant clerk
3569,Cashier ,4,cashier
73460,Screener ,4,covid19 screener
3572,Teacher's assistant ,4,tutor
45748,Educational Assistant ,4,education assistant
42511,General assistant,4,education assistant
43234,Fieldworker ,4,Unclassified
